dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.273270,0.936194,3.211249,1.913269,-1.771534,-0.775184,5.481932
0.020000,4.299438,0.909262,3.248800,1.877537,-1.786593,-0.752976,5.484945
0.020000,4.325186,0.882928,3.285630,1.841505,-1.801605,-0.750568,5.488136
0.020000,4.350510,0.857196,3.321733,1.805179,-1.816294,-0.734484,5.491490
0.020000,4.375407,0.832070,3.357105,1.768565,-1.830728,-0.721694,5.494992
0.020000,4.399872,0.807557,3.391738,1.731665,-1.844983,-0.712732,5.498629
0.020000,4.423901,0.783658,3.425628,1.694491,-1.858722,-0.686984,5.502387
0.020000,4.447487,0.760377,3.458768,1.657034,-1.872831,-0.705433,5.506251
0.020000,4.470625,0.737717,3.491155,1.619308,-1.886286,-0.672748,5.510209
0.020000,4.493308,0.715678,3.522781,1.581317,-1.899571,-0.664248,5.514246
0.020000,4.515530,0.694263,3.553642,1.543062,-1.912754,-0.659160,5.518350
0.020000,4.537284,0.673473,3.583733,1.504545,-1.925844,-0.654490,5.522508
0.020000,4.558561,0.653307,3.613049,1.465779,-1.938320,-0.623775,5.526706
0.020000,4.579355,0.633765,3.641584,1.426758,-1.951058,-0.636938,5.530933
0.020000,4.599656,0.614847,3.669334,1.387494,-1.963159,-0.605046,5.535176
0.020000,4.619458,0.596551,3.696293,1.347992,-1.975135,-0.598786,5.539424
0.020000,4.638751,0.578876,3.722459,1.308252,-1.986981,-0.592300,5.543663
0.020000,4.657526,0.561821,3.747824,1.268280,-1.998614,-0.581651,5.547884
0.020000,4.675777,0.545383,3.772386,1.228090,-2.009467,-0.542673,5.552075
0.020000,4.693492,0.529559,3.796139,1.187677,-2.020676,-0.560402,5.556224
0.020000,4.710665,0.514347,3.819081,1.147051,-2.031283,-0.530366,5.560321
0.020000,4.727286,0.499745,3.841205,1.106219,-2.041634,-0.517539,5.564357
0.020000,4.743346,0.485748,3.862509,1.065188,-2.051512,-0.493912,5.568320
0.020000,4.758837,0.472353,3.882988,1.023962,-2.061303,-0.489549,5.572201
0.020000,4.773752,0.459558,3.902639,0.982551,-2.070554,-0.462552,5.575991
0.020000,4.788080,0.447357,3.921458,0.940958,-2.079665,-0.455572,5.579681
0.020000,4.801815,0.435748,3.939442,0.899192,-2.088271,-0.430293,5.583261
0.020000,4.814948,0.424726,3.956587,0.857260,-2.096630,-0.417931,5.586725
0.020000,4.827472,0.414288,3.972891,0.815175,-2.104219,-0.379459,5.590064
0.020000,4.839380,0.404430,3.988349,0.772932,-2.112163,-0.397208,5.593270
0.020000,4.850664,0.395148,4.002960,0.730550,-2.119115,-0.347608,5.596337
0.020000,4.861317,0.386438,4.016721,0.688034,-2.125802,-0.334316,5.599256
0.020000,4.871333,0.378296,4.029629,0.645390,-2.132209,-0.320347,5.602024
0.020000,4.880705,0.370719,4.041681,0.602623,-2.138322,-0.305669,5.604632
0.020000,4.889429,0.363703,4.052876,0.559747,-2.143816,-0.274722,5.607076
0.020000,4.897498,0.357244,4.063211,0.516766,-2.149071,-0.262716,5.609350
0.020000,4.904907,0.351341,4.072685,0.473691,-2.153740,-0.233481,5.611450
0.020000,4.911652,0.345988,4.081296,0.430528,-2.158113,-0.218614,5.613371
0.020000,4.917729,0.341185,4.089042,0.387285,-2.162178,-0.203259,5.615109
0.020000,4.923133,0.336927,4.095921,0.343969,-2.165816,-0.181896,5.616661
0.020000,4.927860,0.333214,4.101933,0.300592,-2.168833,-0.150871,5.618024
0.020000,4.931909,0.330042,4.107076,0.257159,-2.171664,-0.141526,5.619194
0.020000,4.935276,0.327410,4.111349,0.213677,-2.174095,-0.121548,5.620169
0.020000,4.937959,0.325316,4.114753,0.170157,-2.176011,-0.095815,5.620948
0.020000,4.939956,0.323760,4.117285,0.126607,-2.177500,-0.074468,5.621529
0.020000,4.941266,0.322740,4.118945,0.083030,-2.178843,-0.067116,5.621911
0.020000,4.941905,0.322243,4.119755,0.040478,-2.127566,2.563838,5.622097
0.020000,4.942061,0.322122,4.119952,0.009860,-1.530917,29.832416,5.622142
0.020000,4.942061,0.322122,4.119952,0.000000,-0.493003,51.895731,5.622142
