dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.454486,1.325190,3.382772,1.995424,-1.979405,0.000000,5.471961
0.020000,4.481725,1.296566,3.422285,1.955836,-1.979405,0.000000,5.474110
0.020000,4.508481,1.268577,3.461006,1.916248,-1.979405,-0.000000,5.476499
0.020000,4.534759,1.241226,3.498935,1.876660,-1.979405,-0.000000,5.479112
0.020000,4.560561,1.214516,3.536072,1.837072,-1.979405,0.000000,5.481932
0.020000,4.585890,1.188450,3.572418,1.797484,-1.979405,0.000000,5.484945
0.020000,4.610745,1.163028,3.607972,1.757895,-1.979405,-0.000000,5.488136
0.020000,4.635128,1.138251,3.642734,1.718307,-1.979405,-0.000000,5.491490
0.020000,4.659039,1.114121,3.676704,1.678719,-1.979405,0.000000,5.494992
0.020000,4.682476,1.090637,3.709882,1.639131,-1.979405,-0.000000,5.498629
0.020000,4.705439,1.067799,3.742269,1.599543,-1.979405,0.000000,5.502387
0.020000,4.727925,1.045604,3.773864,1.559955,-1.979405,-0.000000,5.506251
0.020000,4.749932,1.024051,3.804667,1.520367,-1.979405,0.000000,5.510209
0.020000,4.771458,1.003138,3.834679,1.480779,-1.979405,0.000000,5.514246
0.020000,4.792498,0.982862,3.863898,1.441191,-1.979405,0.000000,5.518350
0.020000,4.813049,0.963220,3.892326,1.401603,-1.979405,0.000000,5.522508
0.020000,4.833107,0.944210,3.919963,1.362014,-1.979405,-0.000000,5.526706
0.020000,4.852669,0.925826,3.946807,1.322426,-1.979405,0.000000,5.530933
0.020000,4.871729,0.908064,3.972860,1.282838,-1.979405,-0.000000,5.535176
0.020000,4.890282,0.890922,3.998120,1.243250,-1.979405,0.000000,5.539424
0.020000,4.908325,0.874392,4.022590,1.203662,-1.979405,-0.000000,5.543663
0.020000,4.925851,0.858472,4.046267,1.164074,-1.979405,0.000000,5.547884
0.020000,4.942855,0.843156,4.069153,1.124486,-1.979405,0.000000,5.552075
0.020000,4.959333,0.828438,4.091246,1.084898,-1.979405,0.000000,5.556224
0.020000,4.975279,0.814313,4.112548,1.045310,-1.979405,0.000000,5.560321
0.020000,4.990687,0.800776,4.133059,1.005722,-1.979405,0.000000,5.564357
0.020000,5.005552,0.787820,4.152777,0.966133,-1.979405,0.000000,5.568320
0.020000,5.019870,0.775441,4.171704,0.926545,-1.979405,0.000000,5.572201
0.020000,5.033633,0.763633,4.189839,0.886957,-1.979405,-0.000000,5.575991
0.020000,5.046838,0.752389,4.207182,0.847369,-1.979405,0.000000,5.579681
0.020000,5.059479,0.741704,4.223734,0.807781,-1.979405,-0.000000,5.583261
0.020000,5.071551,0.731573,4.239494,0.768193,-1.979405,0.000000,5.586725
0.020000,5.083049,0.721990,4.254462,0.728605,-1.979405,0.000000,5.590064
0.020000,5.093969,0.712950,4.268638,0.689017,-1.979405,-0.000000,5.593270
0.020000,5.104305,0.704447,4.282022,0.649429,-1.979405,0.000000,5.596337
0.020000,5.114054,0.696476,4.294615,0.609841,-1.979405,0.000000,5.599256
0.020000,5.123211,0.689033,4.306416,0.570253,-1.979405,0.000000,5.602024
0.020000,5.131773,0.682111,4.317425,0.530664,-1.979405,0.000000,5.604632
0.020000,5.139734,0.675708,4.327643,0.491076,-1.979405,0.000000,5.607076
0.020000,5.147093,0.669818,4.337068,0.451488,-1.979405,-0.000000,5.609350
0.020000,5.153846,0.664438,4.345702,0.411900,-1.979405,0.000000,5.611450
0.020000,5.159989,0.659563,4.353544,0.372312,-1.979405,0.000000,5.613371
0.020000,5.165520,0.655191,4.360595,0.332724,-1.979405,-0.000000,5.615109
0.020000,5.170436,0.651317,4.366853,0.293136,-1.979405,0.000000,5.616661
0.020000,5.174735,0.647940,4.372320,0.253548,-1.979405,-0.000000,5.618024
0.020000,5.178415,0.645057,4.376995,0.213960,-1.979405,0.000000,5.619194
0.020000,5.181474,0.642666,4.380878,0.174372,-1.979405,-0.000000,5.620169
0.020000,5.183912,0.640764,4.383970,0.134783,-1.979405,0.000000,5.620948
0.020000,5.185726,0.639350,4.386270,0.095195,-1.979405,0.000000,5.621529
0.020000,5.186916,0.638424,4.387778,0.055607,-1.979405,-0.000000,5.621911
0.020000,5.187496,0.637972,4.388513,0.017907,-1.885033,4.718609,5.622097
0.020000,5.187637,0.637862,4.388692,0.000000,-0.895330,49.485121,5.622142
0.020000,5.187637,0.637862,4.388692,0.000000,0.000000,44.766512,5.622142
